Layer Number,Layer Name,Min Singular Value,Max Singular Value,Mean Singular Value,Median Singular Value
20,self_attn.o_proj,1.9237877e-08,2.775351,0.22862591,0.0011675621
20,mlp.gate_proj,0.20772676,6.89218,1.1846175,1.1242452
20,mlp.up_proj,0.2413615,4.4152446,1.3173355,1.2745821
20,mlp.down_proj,0.36802998,4.355971,1.2980893,1.2598722
21,self_attn.q_proj,4.2558666e-05,4.2233124,0.6419073,0.5279635
21,self_attn.k_proj,0.095213525,2.8043694,0.8131405,0.7078721
21,self_attn.v_proj,0.19125068,1.1489978,0.6297883,0.61731625
21,self_attn.o_proj,7.9719284e-05,4.2211046,0.56257623,0.48428068
21,mlp.gate_proj,0.19160828,6.8337417,1.1930385,1.1355306
21,mlp.up_proj,0.2293716,4.424914,1.3121312,1.2707964
21,mlp.down_proj,0.3036259,4.040954,1.2981932,1.2680882
22,self_attn.q_proj,0.00011025413,3.7318382,0.65608627,0.57662344
22,self_attn.k_proj,0.099208236,3.1351852,0.8150238,0.75587773
22,self_attn.v_proj,0.24557878,1.2428324,0.68326247,0.67475903
22,self_attn.o_proj,3.4551493e-05,3.8047209,0.5872058,0.52736807
22,mlp.gate_proj,0.20144375,7.0824366,1.2004683,1.1458062
22,mlp.up_proj,0.24459395,4.087978,1.3077121,1.2705019
22,mlp.down_proj,0.3021966,4.0536375,1.2949682,1.2644365
23,self_attn.q_proj,1.2728052e-17,4.1146296e-12,1.7530301e-13,1.6516519e-13
23,self_attn.k_proj,1.0314986e-13,3.0297076e-12,2.0554492e-13,1.9737396e-13
23,self_attn.v_proj,0.018642105,1.0259109,0.29471722,0.19841582
23,self_attn.o_proj,1.8684301e-07,2.2132423,0.13774274,0.0009660976
23,mlp.gate_proj,0.24335884,7.2767954,1.2068404,1.1531436
23,mlp.up_proj,0.24627191,3.9644191,1.3048295,1.2707717
23,mlp.down_proj,0.32564056,4.1025343,1.2911916,1.2596165
24,self_attn.q_proj,9.450853e-18,2.9144749e-12,1.7429671e-13,1.6499325e-13
24,self_attn.k_proj,1.0401615e-13,2.283369e-12,2.0251319e-13,1.9689861e-13
24,self_attn.v_proj,0.0010925089,1.0637109,0.3032879,0.22385526
24,self_attn.o_proj,1.01234804e-07,2.5993338,0.14099035,0.0009818042
24,mlp.gate_proj,0.20633972,7.2873955,1.2120037,1.1601356
24,mlp.up_proj,0.3026301,3.7990274,1.3039527,1.272145
24,mlp.down_proj,0.28288937,4.3540926,1.2882938,1.2543509
25,self_attn.q_proj,3.467422e-05,3.8146799,0.66580796,0.60877407
25,self_attn.k_proj,0.09374205,2.4014862,0.8237331,0.79201996
25,self_attn.v_proj,0.20496273,1.2545323,0.7254499,0.71321416
25,self_attn.o_proj,0.000104847255,3.2543614,0.61399376,0.5659619
25,mlp.gate_proj,0.20453525,7.2817698,1.2156286,1.1661372
25,mlp.up_proj,0.25278318,3.8235152,1.3046933,1.274121
25,mlp.down_proj,0.26047602,4.092833,1.2872859,1.2520287
26,self_attn.q_proj,8.1835784e-17,2.886028e-12,1.7432079e-13,1.6489589e-13
26,self_attn.k_proj,1.0324382e-13,2.261997e-12,2.023366e-13,1.9658808e-13
26,self_attn.v_proj,0.01966426,1.1079836,0.3124627,0.2483919
26,self_attn.o_proj,3.5542638e-07,2.5046086,0.14580597,0.0010145928
26,mlp.gate_proj,0.23014937,7.4628053,1.2198743,1.1711535
26,mlp.up_proj,0.26401013,3.6556306,1.305203,1.2768974
26,mlp.down_proj,0.24881892,3.874857,1.2839901,1.2436475
27,self_attn.q_proj,2.9522357e-17,3.1393141e-12,1.7436206e-13,1.6490028e-13
27,self_attn.k_proj,1.0312073e-13,2.4408706e-12,2.0273313e-13,1.9665248e-13
27,self_attn.v_proj,0.0012929392,1.1225287,0.3511066,0.33576578
27,self_attn.o_proj,2.352827e-08,2.8386352,0.15989147,0.001063521
27,mlp.gate_proj,0.22106327,8.016299,1.221884,1.1750579
27,mlp.up_proj,0.2849163,3.6068907,1.308586,1.2821023
27,mlp.down_proj,0.24115145,3.9379108,1.2810283,1.23375
28,self_attn.q_proj,5.4640055e-05,3.3192518,0.65880805,0.5974002
28,self_attn.k_proj,0.086513005,2.154443,0.80232,0.7803009
28,self_attn.v_proj,0.22119781,1.3170702,0.7445915,0.7425481
28,self_attn.o_proj,6.6427964e-07,3.0257144,0.61439335,0.5565183
28,mlp.gate_proj,0.2517132,7.2100377,1.2214595,1.1774489
28,mlp.up_proj,0.31340432,3.5042872,1.3125906,1.2865984
28,mlp.down_proj,0.25222206,3.807894,1.281342,1.2269721
29,self_attn.q_proj,1.8823908e-17,3.8339848e-12,1.7498451e-13,1.6512326e-13
29,self_attn.k_proj,1.02790315e-13,2.9243528e-12,2.0522549e-13,1.9736101e-13
29,self_attn.v_proj,0.03649472,1.6540188,0.5834812,0.58827084
29,self_attn.o_proj,2.8801898e-07,3.612257,0.23488228,0.0012774629
29,mlp.gate_proj,0.26437908,6.890429,1.2185658,1.175869
29,mlp.up_proj,0.33296713,3.3959954,1.3199155,1.2947242
29,mlp.down_proj,0.24155943,4.1456876,1.2833035,1.2210286
30,self_attn.q_proj,5.691869e-05,3.2119954,0.62816656,0.5470828
30,self_attn.k_proj,0.08828296,2.06857,0.74985254,0.7171526
30,self_attn.v_proj,0.2561137,1.3693928,0.7727159,0.7671071
30,self_attn.o_proj,0.0003255333,3.2022762,0.6140991,0.53324676
30,mlp.gate_proj,0.24112733,6.363057,1.2118505,1.16997
30,mlp.up_proj,0.3279685,3.3088155,1.3276091,1.3018458
30,mlp.down_proj,0.23127098,3.9932904,1.2913812,1.2264338
31,self_attn.q_proj,0.00010934091,3.328584,0.60108334,0.49379212
31,self_attn.k_proj,0.08070231,2.0653758,0.72663206,0.6599064
31,self_attn.v_proj,0.18038777,1.4799662,0.74915314,0.7380184
31,self_attn.o_proj,0.00014774385,3.7385073,0.5936682,0.48577595
31,mlp.gate_proj,0.24313772,6.0866737,1.2018515,1.1614292
31,mlp.up_proj,0.3187428,3.4906418,1.3357942,1.3081634
31,mlp.down_proj,0.2306132,4.0040574,1.3053119,1.2457101
32,self_attn.q_proj,3.9654853e-05,2.9431398,0.5688509,0.4589311
32,self_attn.k_proj,0.079671554,1.9607905,0.672771,0.6103294
32,self_attn.v_proj,0.18781334,1.6892906,0.7926543,0.79942
32,self_attn.o_proj,7.0100477e-06,4.2501574,0.6027756,0.5031862
32,mlp.gate_proj,0.2544055,5.513647,1.1922702,1.1504543
32,mlp.up_proj,0.29154623,3.6380515,1.3410845,1.312576
